Date,estimated-transaction-volume-usd,estimated-transaction-volume,Output-volume,n-transactions-excluding-chains-longer-than-100,n-transactions-excluding-popular,n-unique-addresses,Cost-per-transaction,Transaction-fees,Miners-revenue,difficulty,Hash-rate,median-confirmation-time,n-transactions-per-block,n-orphaned-blocks,avg-block-size,trade-volume,market-price
2016-12-23,389259376.149416,431035.31929554,2633796.22254997,205183,237189,522516,5.92333841190912,100.48771495,1720367.4,310153855703,2343510.43263714,12.775,2006.55921052632,0,0.887989592105263,71128607.5418054,901.3182375
2016-12-24,200327041.129221,223986.76289368,1526634.41658269,177864,195740,420206,6.67038846288675,83.58322018,1540552.325,310153855703,2112242.95573216,16.325,1757.8102189781,0,0.854889503649635,36632649.452525,891.6126125
2016-12-25,208080003.143178,232569.57990743,1105164.79607362,148365,241536,353857,9.63716474566166,62.62071481,1867686.25,310153855703,2574777.90954212,10.3,1195.29341317365,2,0.647507083832335,31411463.3441557,886.900375
2016-12-26,243946016.489717,270013.07915095,1513037.04037673,172836,292846,448557,6.87229410666318,87.97239373,1610869.18,310153855703,2189332.11470048,13.55,1724.74647887324,0,0.855863281690141,30528384.4926024,897.335375
2016-12-27,322486430.118183,345270.85375765,2242009.72892466,199187,301503,509115,6.4552667916496,99.53217417,1828791.58,310153855703,2405181.7598118,13.025,1900.9358974359,0,0.87663907051282,36349743.3696379,930.376
2016-12-28,326666676.589496,334220.04971301,2063689.69191721,206054,301119,514772,6.89491041114568,104.35263976,2011489.2,312083434211.183,2589949.6705277,7.66666666666667,1862.15853658537,0,0.868480195121951,58947752.6219215,967.480375
2016-12-29,309246380.699094,319522.21513793,1781841.82843875,209027,283433,512156,6.2982623399158,107.23074067,1831153.28,317688400354,2368856.40597046,14.55,2030.7,0,0.94039782,49469080.7609056,963.381625
2016-12-30,316213793.617025,331471.42322822,2207636.67870298,192400,247437,496024,6.86103096086815,100.318724,1880751.855,317688400354,2479403.03824908,8.5,1826.86624203822,0,0.871707828025478,55218054.0176341,952.156375
2016-12-31,207605277.463184,215512.42846351,1379308.87090979,174427,176753,449831,7.43760288358385,82.32831226,1785013.43,317688400354,2337271.65389085,12.275,1691.03378378378,0,0.803915554054054,20372836.6699476,959.879875
2017-01-01,170736309.72805,170022.21641909,1084340.88487883,123002,290282,355324,11.2106393985944,65.07949883,1961202.6,317688400354,2463610.66220928,10.85,1157.0641025641,0,0.698539769230769,33991911.0589763,997.729875
2017-01-02,284471581.552279,278211.81569905,1600838.41441307,202393,297650,529708,7.3598996966634,113.9071518,2060337.5,317688400354,2526780.16636849,9.81666666666667,1835.5125,1,0.94521121875,57597031.9813785,1015.9771125
2017-01-03,340688236.307294,329964.39351796,1950525.35497193,200407,326689,515023,7.41869341189104,117.50869676,2141405,317688400354,2589949.6705277,12.35,1839.41463414634,0,0.906573518292683,41550985.515731,1023.141875
2017-01-04,439183172.082455,386434.81925425,2503952.37922816,215669,284086,545635,7.30005800257256,195.73590001,2308231.5,317688400354,2432025.91012967,10.7,2143.92207792208,1,0.986141097402597,143134274.569835,1126.7633375
2017-01-05,524577602.081473,526684.33943923,2998215.1115476,193322,284086,495909,6.43856338366217,114.99194252,1773876,317688400354,2210932.64557243,10.9166666666667,2060.72142857143,0,0.984196892857143,208498259.793043,994.674875
2017-01-06,428452344.250553,483798.94337235,3100652.30632102,233379,342362,562749,5.47169859369831,127.77072194,1805295.6,317688400354,2542572.54240829,11.4833333333333,2151.58385093168,0,0.984330583850932,134165115.237893,883.099175
2017-01-07,310258543.039847,344066.51921823,2162212.68055872,187066,280726,503340,5.84219053396215,107.1366432,1583004.57,317688400354,2195140.26953263,10.4333333333333,2048.3381294964,1,0.987336633093525,97175659.2798539,896.830375
2017-01-08,211475099.038537,230638.88390195,1679995.29932851,176421,256862,455738,7.68051537509684,91.2413482,1915883.445,317688400354,2637326.79864711,6.63333333333333,1557.49101796407,0,0.810419437125749,55303632.4843293,908.1490375
2017-01-09,267769180.272303,297521.31141367,2095379.05522492,174250,267011,475571,6.00799910347216,102.04592665,1548900,317688400354,2147763.14141322,10.7166666666667,1984.90441176471,0,0.923003161764706,41076985.165461,894.18025
2017-01-10,284257957.754426,311898.39337535,2359325.55048213,213386,320848,541167,5.96524635354597,119.94087094,1842810.36,319489481520.344,2679581.83959097,10.7166666666667,2024.3,0,0.9597204875,31485218.7142953,906.056914285714
2017-01-11,389299060.467785,495840.25634963,3980330.05363409,198078,299020,491692,5.24439232197782,111.82087465,1522759.635,336899932795,2562350.13410886,15.275,1980.77124183007,0,0.923016352941176,131253668.407873,785.2237375
2017-01-12,317369300.888689,394742.84616561,3589294.90458276,189880,294259,483077,6.12628405518382,106.35637276,1750688.225,336899932795,2897297.86405773,8.5,1721.13294797688,1,0.802814323699422,76636270.2560265,803.372375
2017-01-13,256962364.991016,310296.05007851,2386792.84945669,179515,271629,466560,5.97551333927693,97.90853957,1577154.54,336899932795,2528855.36111398,8.98333333333333,1822.17880794702,1,0.841531470198675,55509952.1156339,826.2956625
2017-01-14,154658301.415581,189694.9606471,1500321.71960315,172353,238971,446468,7.52762110090844,86.85666196,1759417.4,336899932795,2880550.47756029,6.83333333333333,1408.54069767442,0,0.742766639534884,27475928.3064257,817.912875
2017-01-15,159034173.050971,193769.24854518,1725125.55521011,167553,232132,417278,7.5457079855467,82.22432059,1716577.71,336899932795,2796813.54507307,7,1413.16766467066,0,0.677067658682635,15757955.9716831,822.2076
2017-01-16,207038818.877579,249414.31017658,2087940.5458589,178460,264758,473646,6.87348698862571,103.64270285,1769358.15,336899932795,2830308.31806796,12.6,1583.66863905325,0,0.758334798816568,22109924.906282,830.505125
2017-01-17,292157921.607734,323187.1166802,2310740.48936348,192960,288284,502461,6.43761458436386,109.39305302,1808883.99,336899932795,2646087.06659608,15.15,1852.51265822785,0,0.900242,66791560.4066119,903.84575
2017-01-18,259176379.480173,295532.82797803,1939717.7512744,201646,295079,500305,5.859603530162,108.62581158,1672839.35,336899932795,2528855.36111398,12.425,1978.48344370861,1,0.894532337748344,51289482.2487611,874.9949625
