"","x"
"228",0.0312298840406946
"229",0.0525536545695948
"230",-0.00737080780061339
"231",0.0185065172225389
"232",0.0201834811872097
"233",-0.033788975438374
"234",0.0986174517285301
"235",0.0695240968811497
"236",0.0305029682452553
"237",0.0443324079250855
"238",-0.10000859119758
"239",0.039531673590683
"240",-0.00412856169974751
"241",-0.0573291855339033
"242",0.00672838395513775
"243",0.0543312703931549
"244",0.0718497722554565
"245",0.0442039586218863
"246",0.0655451704304162
"247",-0.0131710141163577
"248",0.0263797767361362
"249",0.137600892223765
"250",0.0553061061553897
"251",-0.00269830880041466
"252",-0.131494310278898
"253",-0.159810924343856
"254",0.129578717196045
"255",0.0519358426018868
"256",-0.0344608887990594
"257",0.0252803973871254
"258",0.0701407970759298
"259",0.0231858461897243
"260",0.0436909350523587
"261",-0.0142948480765126
"262",0.104944273465817
"263",0.0991601213033879
"264",-0.135585916870651
"265",0.0678159025323628
"266",0.0117214812430122
"267",0.00206234429115915
"268",0.056766906635249
"269",-0.183463601641654
"270",0.0460488155207359
"271",-0.195931486652909
"272",-0.011157200058044
"273",0.006685490759339
"274",0.118679022310462
"275",-0.107340972459204
"276",0.0612227399203846
"277",0.0748689274565824
"278",-0.0582016584838896
"279",0.0255796993205815
"280",-0.0181815142409489
"281",-0.0821892649096194
"282",-0.0568585303904252
"283",-0.0577844187041445
"284",0.0450697956999107
"285",0.0346335919100911
"286",-0.0339625326078066
"287",-0.0511681033981164
"288",-0.0368411197420924
"289",0.0358714847125448
"290",0.0302398385639169
"291",0.0160058486712862
"292",0.00392693014104006
"293",-0.0138440489633582
"294",-0.0834958189415764
"295",0.0372873179271322
"296",-0.024572832009305
"297",-0.120446921382682
"298",-0.00561559015847779
"299",0.00267218614127307
"300",-0.0292769002937709
"301",-0.124823649435206
"302",-0.108645438915248
"303",-0.111806078038981
"304",0.185423051604573
"305",0.0951666015772163
"306",-0.0472120569857974
"307",0.390897946190535
"308",-0.13345715943545
"309",0.0658034908610405
"310",-0.0561353626924521
"311",0.00738329403774274
"312",-0.124421377973583
"313",-0.0503644176634273
"314",0.0879140912097849
"315",0.0717555589540957
"316",-0.0429009284850184
"317",0.00573458072756616
"318",0.0613391931651726
"319",-0.0986958939774938
"320",-0.0181861841607658
"321",0.0511233087156266
"322",0.0373882627271613
"323",0.17493315503866
"324",0.00908973160692361
"325",0.0670294035124848
"326",0.0155026634319742
"327",-0.055651760541072
"328",0.0238710240557196
"329",0.0873196592996042
"330",0.0871295538311625
"331",0.102533434666746
"332",0.0524627029865095
"333",-0.0332523882700089
"334",0.0461352860186033
"335",-0.0201118431739229
"336",-0.0840077664342511
"337",0.0275913376960844
"338",-0.0331238351152592
"339",-0.0532150027325093
"340",0.00717796150653371
"341",0.0282210063216615
"342",0.054714993811092
"343",0.000316119121634761
"344",-0.00908097463475777
"345",-0.0104424345057192
"346",0.00568731692396551
"347",0.0696584906797864
"348",-0.0127087604188223
"349",0.0449518533154643
"350",0.0466346459380045
"351",-0.121150918734366
"352",0.0156274461617456
"353",-0.117605044458557
"354",0.0448520657053011
"355",0.0461302519639035
"356",-0.00366991675198935
"357",-0.132334822173216
"358",0.0160070662763678
"359",-0.0250910964435769
"360",-0.0390232463188211
"361",-0.0192424848839099
"362",-0.110143519200806
"363",-0.294067765090937
"364",0.199543125969077
